"English Word","Word Type","Dragon Translation"
ing,suffix,taas
A,adjective,Aan
Aardvark,noun,Golthiraak
Abacus,noun,Ketokaan
Abandon,verb,Vodein
Abandoner,verb,Vodeiniik
Abandonment,noun,Vodein
Abase,verb,Taargu
Abate,verb,Lumvit
Abatis,noun,Kethey
Abbatial,adjective,Brodiiruv
Abbot,noun,Brodiir
Abbreviate,verb,Gemalingraan
Abdicate,verb,Dulgahvon
Abduct,verb,Fusaav
Abductor,noun,Fusaaviik
Abhor,verb,Volor
Abhorrence,adjective,Zovolor
Abhorrent,adjective,Zovolor
Ability,noun,Vosmaar
Abject,adjective,Untaar
Abjure,verb,Duvaat
Ablaze,adjective,Yoltaas
Able,adjective,Vos
Abnormal,adjective,Voqurnen
Abode,noun,"Hofkah, Hofkiin"
Abolish,verb,Obliis
Abolisher,noun,Oblisiik
Abominable,adjective,Ahvakiid
Abomination,noun,Ahvakaar
Aboriginal,noun,Diistaak
Abort,verb,Genul
Abortion,noun,Genuld
Abound,adjective,Posiil
About,preposition,Do
Above,preposition,Avok
Abrade,verb,Ahkrol
Abridge,verb,Gemalingraan
Abroad,adverb,Utan
Abrupt,adjective,Hevkah
Absence,noun,Nusaanom
Absent,adjective,Nusaan
Absolute,adjective,Thurot
Absoluteness,noun,Thurot
Absolution,noun,Avodalend
Absolve,verb,Avodal
Absorb,verb,Gahnos
Abstain,verb,Forgen
Abstract,adjective,Vohahgolt
Absurd,adjective,Uzgroleinuv
Absurdity,noun,Uzgrolein
Abundance,noun,Povaas
Abundant,adjective,Povaan
Abyss,noun,Vulzid
Abyssal,adjective,Vulziden
Academy,noun,Mindaziir
Accelerate,verb,Serom
Accelerator,noun,Seromiik
Accent,noun,Tinviis
Accept,verb,Eim
Acceptable,adjective,Viseim
Acceptance,noun,Eimend
Access,noun,Rahnd
Accessible,adjective,Virahn
Accident,noun,Redenteyk
Accidental,adjective,Redenteykus
Accompany,verb,Enlahvraan
Accomplish,verb,Vinal
Accomplished,adjective,Vinalaan
Accomplishment,noun,Vinalend
Accord,verb,Eftiir
According,adverb,Fodos
Account,noun,Tal
Accountable,adjective,Vahlokeyvaal
Accredit,verb,Mahnad
Accumulate,verb,Deyvaaz
Accuracy,noun,Wahzaalom
Accurate,adjective,Wahzaal
Accursed,adjective,Duraal
Accusation,noun,Noraas
Accuse,verb,Noraas
Accustom,verb,Bahwun
Ache,noun,Hod
Achievable,adjective,Vikurahiv
Achieve,verb,Kurahiv
Achievement,noun,Kurahivend
Aching,adjective,Hodaal
Achy,adjective,Hodaal
Acid,noun,Veik
Acidic,adjective,Veikus
Acknowledge,verb,Eimindah
Acknowledgement,noun,Eimindak
Acolyte,noun,Kiibokaar
Acorn,noun,Ahkriis
Acoustic,adjective,Honuv
Acquaint,verb,Malmind
Acquaintance,noun,Hefahdon
Acquire,verb,Ofaal
Acquisition,noun,Ofaalend
Acre,noun,Himkah
Across,preposition,Yaav
Acryllic,noun,Sehburuk
Act,verb,Kosov
Act,noun,Dren
Action,noun,Dren
Activate,verb,Drunkoros
Active,adjective,Drenaal
Actor,noun,Droliik
Actual,adjective,Saad
Actuality,noun,Saadom
Acute,adjective,Aas
Adapt,verb,Iinvak
Adaptability,adjective,Visiinvak
Adaptable,adjective,Visiinvak
Add,verb,Ter
Addict,noun,Brutuliik
Addicted,adjective,Brutul
Addiction,noun,Brutul
Addition,noun,Ter
Additional,adverb,Siizuk
Address,noun,Hofkiin-Tokaan
Adept,noun,Seirakmun
Adhere,verb,Kliif
Adhesive,adjective,Hokaalus
Adhesive,noun,Hokaalvoth
Adjacent,adjective,Boriigaar
Adjust,verb,Malvuld
Administrate,verb,Kahroliin
Administration,noun,Kroskinbok
Administrator,noun,Kahroliniik
Admiral,noun,Okaazin
Admiration,verb,Balaas
Admire,verb,Balaas
Admit,verb,Onvok
Admonish,verb,Vormung
Adopt,verb,Nebenviing
Adorable,adjective,Qiib
Adoration,noun,Elskahend
Adore,verb,Elskah
Adorn,verb,Setjah
Adornment,noun,Setjahl
Adrenaline,noun,Kopraamul
Adult,noun,Naraan
Adultery,noun,Ahvaruz
Advance,verb,Ativut
Advancement,noun,Ativut
Advantage,noun,Krantok
Adventure,noun,Bovit
Adventurer,noun,Bovitaan
Adventurous,adjective,Bovitaal
Adversarial,adjective,Paalus
Adversary,noun,Paalikot
Advice,noun,Tolaas
Advise,noun,Tolaas
Adviser,noun,Tolasiik
Advisor,noun,Tolasiik
Aedra,noun,Eyra
Aedric,adjective,Eyruv
Aerial,adjective,Lokuv
Aerobiology,noun,Hahsesulaas
Aerodynamic,adjective,Suvohmulhaan
Aether,noun,Lovok
Aetherium,noun,Lovokul
Aetherius,noun,"Lovok, Volein"
Afar,adverb,Utan
Affair,noun,Trun
Affect,noun,Droz
Affection,noun,Pruvos
Affectionate,adjective,Pruvosaal
Affiliate,verb,Gevoth
Affinity,noun,Sifyaar
Affirm,verb,Daazrii
Afford,verb,Wazul
Affordable,adjective,Wazaal
Aflame,adjective,Yoltaas
Afloat,adjective,Avokdil
Afraid,adjective,Faas
Afro,noun,Saakom
After,preposition,Mindin
Afterlife,noun,Onlaas
Afternoon,noun,Mindinhefsul
Afterwards,adverb,Mindiniv
Again,adverb,Ontzos
Against,preposition,Wah
Agate,noun,Mulkazaar
Age,noun,Bok
Ageless,adjective,Boknu
Agency,noun,Droliikstaad
Agender,adjective,Niveiliin
Agent,noun,Droliik
Aggression,noun,Drensepaal
Aggressive,adjective,Paalus
Agile,adjective,Aas
Agility,noun,Asaar
Agitate,verb,Sturon
Agitation,noun,Sturon
Ago,adjective,Vod
Agonize,verb,Gaarfaz
Agony,noun,Vaarnufaaz
Agree,verb,Rolur
Agreeable,adjective,Visrolur
Agreement,noun,Krolurend
Agriculture,noun,Fahluzok
Ah,interjection,Eh
Ahead,preposition,Amvit
Aid,noun,Freyend
Aid,verb,Frey
Aim,verb,Mor
Air,noun,Su
Airborne,adjective,Kolok
Aircraft,noun,Geltviing
Airplane,noun,Geltviing
Airport,noun,Sustaal
Airy,adjective,Suthus
Ajar,adjective,Kadul
Akatosh,noun,Bormah
Akavir,noun,Dovahnor
Alarm,noun,Faast
Alas,interjection,Ahrii
Albinism,noun,Sotkelm
Albino,noun,Sotkelm
Album,noun,Lovaasvogil
Alchemist,noun,Folhetiik
Alchemy,noun,Folhet
Alcohol,noun,Geikaal
Aldmer,noun,Geinfahliil
Ale,noun,Geikaal
Alert,adjective,Ahmiin
Alertness,noun,Ahmiin
Algebra,noun,Golrosik-Tokaas
Alias,noun,Nebenfaan
Alien,noun,Gutiriik
Alienate,verb,Dahtiris
Align,verb,Tahlon
Alignment,noun,Tahloniik
Alik'r,noun,Alikr
Alike,adjective,Medaas
Alive,adjective,Nahlaas
All,adjective,Pah
All-Maker,noun,Pahwahliik
Allegiance,noun,Mir
Allergy,noun,Lovariis
Alley,noun,Korvan
Alliance,noun,Mir
Alligator,noun,Lotvrii
Allophone,noun,Aanvorey-Honaat
Allow,verb,Vos
Alloy,noun,Burkaar
Allude,verb,"Nenvaar, Faanrah"
Allure,noun,Ziinahl
Allusion,verb,Faanrah
Ally,noun,"Grah-Zeymahzin, Middovah"
Almost,adverb,Prii
Aloft,adjective,"Lok, Kolok"
Alone,adjective,"Naalein, Meyardein"
Along,preposition,Asamit
Aloud,adjective,Enshar
Alphabet,adjective,Golrosik
Alphabetical,adjective,Golrosikuv
Already,adverb,Nalkun
Alright,interjection,Bek
Also,adverb,Ahk
Altar,noun,Belur
Alter,verb,Muriiv
Alteration,noun,Murahv
Alternative,noun,Krizaak
Although,conjunction,To
Altmer,noun,Yuvonfahliil
Alto,noun,Loklovaas
Altogether,adverb,Pahvoth
Always,adverb,Alun
Am,verb,Los
Amateur,noun,Ahtamun
Amaze,verb,Daazun
Amazement,noun,Daazun
Ambassador,noun,Norzaar
Amber,noun,Golsez
Ambiguity,noun,Voreistigaar
Ambition,noun,Paar
Ambitious,adjective,Zopaar
Amble,verb,Driinod
Ambulance,noun,Bahvit-Ronth
Ambush,verb,Treymoz
